date,Unnamed: 0,temperature,relative_humidity,dew_point,apparent_temperature,precipitation_probability,rain,surface_pressure,bike_stands,available_bike_stands
2023-08-16 03:00:00+00:00,9057.0,18.8,84.0,16.05,20.3,0.0,0.0,986.0500000000001,22.0,14.0
2023-08-16 04:00:00+00:00,9070.333333333334,18.72222222222222,84.0,15.966666666666665,20.211111111111112,0.0,0.0,986.0,22.0,15.555555555555555
2023-08-16 05:00:00+00:00,9074.272727272728,18.0875,87.63636363636364,15.836363636363636,19.400000000000002,0.0,0.0,985.9090909090909,22.0,19.818181818181817
2023-08-16 06:00:00+00:00,9087.0,17.56,91.5,16.150000000000002,19.099999999999998,0.0,0.0,986.0999999999999,22.0,20.0
2023-08-16 07:00:00+00:00,9092.0,19.522222222222222,86.55555555555556,17.188888888888886,21.62222222222222,0.0,0.0,986.7888888888889,22.0,20.77777777777778
2023-08-16 08:00:00+00:00,9105.333333333334,22.566666666666666,77.0,18.299999999999997,25.066666666666666,0.7142857142857143,0.0,987.4333333333333,22.0,20.444444444444443
2023-08-16 09:00:00+00:00,9111.454545454546,24.436363636363637,69.63636363636364,18.5,26.99090909090909,1.6,0.0,987.6545454545455,22.0,19.636363636363637
2023-08-16 10:00:00+00:00,9119.285714285714,25.985714285714288,63.857142857142854,18.585714285714285,28.585714285714285,2.4285714285714284,0.0,987.4428571428572,22.0,20.285714285714285
2023-08-16 11:00:00+00:00,9129.444444444445,27.37142857142857,58.333333333333336,18.477777777777774,30.34444444444445,3.0,0.0,987.0555555555555,22.0,14.11111111111111
2023-08-16 12:00:00+00:00,9138.444444444445,28.355555555555554,54.111111111111114,18.244444444444444,31.88888888888889,3.0,0.0,986.8666666666666,22.0,17.11111111111111
2023-08-16 13:00:00+00:00,9144.777777777777,28.711111111111116,53.44444444444444,18.344444444444445,31.61111111111111,3.0,0.0,986.4333333333333,22.0,21.444444444444443
2023-08-16 14:00:00+00:00,9157.9,28.87777777777778,52.5,18.2,30.75,3.0,0.0,985.75,22.0,16.8
2023-08-16 15:00:00+00:00,9164.444444444445,28.5375,52.333333333333336,17.866666666666667,29.93333333333333,3.0,0.0,985.8000000000001,22.0,15.777777777777779
2023-08-16 16:00:00+00:00,9177.5,28.35,48.5,16.45,28.95,3.0,0.0,985.75,22.0,14.6
2023-08-16 17:00:00+00:00,9186.5,28.166666666666668,44.6,14.919999999999998,28.380000000000003,13.8,0.0,985.32,22.0,17.4
2023-08-16 18:00:00+00:00,9193.444444444445,27.4875,46.77777777777778,14.97777777777778,27.944444444444443,30.5,0.0,985.4222222222223,22.0,20.555555555555557
2023-08-16 19:00:00+00:00,9200.714285714286,26.266666666666666,54.142857142857146,16.014285714285712,27.5,46.0,0.0,985.9142857142858,22.0,17.857142857142858
2023-08-16 20:00:00+00:00,9211.714285714286,23.733333333333334,70.71428571428571,18.185714285714287,26.47142857142857,59.142857142857146,0.0,986.4857142857144,22.0,17.285714285714285
2023-08-16 21:00:00+00:00,9215.666666666666,22.5,78.0,18.5,25.150000000000002,61.5,0.0,986.9500000000002,22.0,17.666666666666668
2023-08-16 22:00:00+00:00,9222.57142857143,21.22,83.71428571428571,18.342857142857145,23.97142857142857,64.14285714285714,0.0,987.0285714285714,22.0,17.428571428571427
2023-08-16 23:00:00+00:00,9228.833333333334,20.28,89.5,18.5,23.099999999999998,56.0,0.0,986.75,22.0,17.333333333333332
2023-08-17 00:00:00+00:00,9236.5,19.7,91.0,18.2,22.45,39.4,0.0,986.6,22.0,17.0
2023-08-17 01:00:00+00:00,9240.5,19.349999999999998,90.5,17.75,22.0,19.0,0.0,986.6999999999999,22.0,17.0
2023-08-17 02:00:00+00:00,9248.5,18.75,90.5,17.150000000000002,20.95,8.5,0.0,986.6999999999999,22.0,17.333333333333332
2023-08-17 03:00:00+00:00,9254.0,17.849999999999998,92.5,16.599999999999998,19.650000000000002,5.0,0.0,986.4000000000001,22.0,18.0
2023-08-17 04:00:00+00:00,9259.375,17.25,95.5,16.549999999999997,19.049999999999997,1.5,0.0,986.05,22.0,19.875
2023-08-17 05:00:00+00:00,9270.25,17.2875,95.75,16.6375,19.0875,0.0,0.0,986.0875,22.0,21.25
2023-08-17 06:00:00+00:00,9274.0,17.8,93.85714285714286,16.771428571428572,19.657142857142855,0.0,0.0,986.3142857142857,22.0,21.714285714285715
2023-08-17 07:00:00+00:00,9285.5,19.185714285714287,91.0,17.549999999999997,21.5,0.0,0.0,986.3499999999999,22.0,19.875
2023-08-17 08:00:00+00:00,9288.714285714286,20.95,85.14285714285714,18.242857142857144,23.599999999999998,0.8571428571428571,0.0,986.342857142857,22.0,21.714285714285715
2023-08-17 09:00:00+00:00,9301.888888888889,22.61111111111111,77.77777777777777,18.522222222222226,25.2,2.75,0.0,986.5333333333333,22.0,20.666666666666668
2023-08-17 10:00:00+00:00,9309.416666666666,24.12222222222222,71.66666666666667,18.633333333333333,26.575,4.888888888888889,0.0,986.7000000000002,22.0,19.666666666666668
2023-08-17 11:00:00+00:00,9320.0,25.299999999999997,65.0,18.2,27.339999999999996,7.333333333333333,0.0,986.4200000000001,22.0,15.0
2023-08-17 12:00:00+00:00,9332.333333333334,26.163636363636364,61.0,18.05,28.650000000000002,11.0,0.0,985.9499999999999,22.0,11.916666666666666
2023-08-17 13:00:00+00:00,9340.454545454546,26.85,58.18181818181818,17.927272727272726,29.41818181818182,14.2,0.0,985.6727272727272,22.0,9.181818181818182
2023-08-17 14:00:00+00:00,9353.8,27.52,53.6,17.240000000000002,29.74,13.222222222222221,0.0,985.1600000000001,22.0,4.5
2023-08-17 15:00:00+00:00,9365.0,27.91111111111111,50.5,16.65,29.8,8.333333333333334,0.0,984.95,22.0,11.1
2023-08-17 16:00:00+00:00,9373.0,27.72222222222222,49.0,16.07777777777778,28.666666666666668,2.2222222222222223,0.0,984.6777777777778,22.0,16.0
2023-08-17 17:00:00+00:00,9379.777777777777,27.166666666666668,50.111111111111114,16.011111111111113,27.833333333333332,4.444444444444445,0.0,984.3888888888889,22.0,16.88888888888889
2023-08-17 18:00:00+00:00,9393.0,26.375,53.5,16.225,27.325,13.0,0.0,984.425,22.0,16.875
2023-08-17 19:00:00+00:00,9395.142857142857,24.98,61.0,17.114285714285714,26.97142857142857,16.6,0.0,984.5428571428572,22.0,11.285714285714286
2023-08-17 20:00:00+00:00,9407.5,23.5,72.5,18.25,26.05,19.5,0.0,984.8,22.0,4.875
2023-08-17 21:00:00+00:00,9411.5,22.299999999999997,77.125,18.1875,25.0,13.75,0.0,985.075,22.0,3.125
2023-08-17 22:00:00+00:00,9424.222222222223,20.9,82.88888888888889,17.944444444444443,23.5,6.0,0.0,985.5333333333333,22.0,5.333333333333333
2023-08-17 23:00:00+00:00,9428.42857142857,20.0,87.28571428571429,17.857142857142858,22.314285714285713,2.6666666666666665,0.0,985.5428571428572,22.0,5.285714285714286
2023-08-18 00:00:00+00:00,9435.0,19.560000000000002,89.0,17.7,21.8,1.4,0.0,985.25,22.0,5.0
2023-08-18 01:00:00+00:00,9443.5,19.150000000000002,91.5,17.7,21.400000000000002,0.5,0.0,985.5499999999998,22.0,5.0
2023-08-18 02:00:00+00:00,9447.5,18.7,93.5,17.650000000000002,20.95,0.0,0.0,985.5,22.0,5.166666666666667
2023-08-18 03:00:00+00:00,9457.5,18.65,93.0,17.5,20.95,0.0,0.0,985.1500000000001,22.0,5.5
2023-08-18 04:00:00+00:00,9462.857142857143,18.400000000000002,94.28571428571429,17.414285714285715,20.571428571428573,0.0,0.0,985.0142857142857,22.0,6.857142857142857
2023-08-18 05:00:00+00:00,9473.75,17.954545454545453,95.5,17.2,19.900000000000002,0.0,0.0,984.8000000000001,22.0,13.75
2023-08-18 06:00:00+00:00,9479.666666666666,18.3,94.55555555555556,17.322222222222223,20.200000000000003,0.0,0.0,985.0111111111112,22.0,20.666666666666668
2023-08-18 07:00:00+00:00,9496.0,20.133333333333333,90.66666666666667,18.533333333333335,22.7,0.0,0.0,985.1999999999999,22.0,19.88888888888889
2023-08-18 08:00:00+00:00,9497.9,21.833333333333332,85.8,19.2,24.82,5.6,0.0,985.46,22.0,18.5
2023-08-18 09:00:00+00:00,9513.636363636364,23.45,79.36363636363636,19.663636363636364,26.5,21.636363636363637,0.0,986.1090909090909,22.0,19.0
2023-08-18 10:00:00+00:00,9521.75,24.9625,70.5,19.175,27.375,38.0,0.0,985.8875,22.0,17.25
2023-08-18 11:00:00+00:00,9529.555555555555,26.0,64.22222222222223,18.755555555555556,28.38888888888889,46.0,0.0,985.7444444444445,22.0,14.777777777777779
2023-08-18 12:00:00+00:00,9537.777777777777,27.0,59.22222222222222,18.366666666666667,29.666666666666668,55.44444444444444,0.0,985.688888888889,22.0,13.777777777777779
2023-08-18 13:00:00+00:00,9550.0,27.857142857142858,54.5,17.75,30.4,63.5,0.0,985.5,22.0,14.5
2023-08-18 14:00:00+00:00,9559.5,28.380000000000003,49.6,16.86,30.3,74.0,0.0,985.28,22.0,15.9
2023-08-18 15:00:00+00:00,9567.5,28.55,48.5,16.65,29.8,82.0,0.0,984.9,22.0,16.0
2023-08-18 16:00:00+00:00,9575.777777777777,28.4125,48.44444444444444,16.466666666666665,29.333333333333332,92.55555555555556,0.0,984.8777777777777,22.0,18.444444444444443
2023-08-18 17:00:00+00:00,9587.0,28.200000000000003,49.0,16.45,29.349999999999998,97.0,0.0,984.85,22.0,22.0
2023-08-18 18:00:00+00:00,9593.375,27.642857142857142,51.5,16.799999999999997,29.2,97.0,0.0,984.75,22.0,20.875
2023-08-18 19:00:00+00:00,9599.222222222223,26.357142857142858,60.111111111111114,17.833333333333332,28.41111111111111,97.0,0.0,985.1222222222223,22.0,19.88888888888889
2023-08-18 20:00:00+00:00,9611.333333333334,23.614285714285717,74.77777777777777,19.08888888888889,26.37777777777778,89.28571428571429,0.0,985.5333333333333,22.0,18.11111111111111
2023-08-18 21:00:00+00:00,9616.285714285714,22.150000000000002,81.42857142857143,18.74285714285714,24.085714285714285,69.5,0.0,985.8142857142857,22.0,15.714285714285714
2023-08-18 22:00:00+00:00,9627.5,21.46666666666667,82.5,18.2,23.15,51.0,0.0,985.75,22.0,13.25
2023-08-18 23:00:00+00:00,9632.0,20.67142857142857,84.42857142857143,17.957142857142856,22.514285714285712,36.0,0.0,985.7714285714285,22.0,12.142857142857142
2023-08-19 00:00:00+00:00,9638.0,20.45,85.0,17.8,22.349999999999998,21.0,0.0,985.85,22.0,7.833333333333333
